variant.id,chr,pos,n.obs,freq,MAC,Score,Score.SE,Score.Stat,Score.pval,Est,Est.SE,PVE
11,1,21745,1518,0.6538208168642952,1051,-2.1958825668414224,7.8439226463338985,-0.27994699410603396,0.7795181719790624,-0.035689667877700955,0.12748723375891285,6.711050902030946e-5
12,1,75465,1518,0.3316864295125165,1007,1.6426495906836989,7.8496054916489175,0.2092652417285544,0.8342411841233559,0.02665933236405176,0.12739493737155141,3.75001594540652e-5
13,1,75629,1518,0.330368906455863,1003,1.3056533824454686,7.84879098995529,0.16635089201845418,0.8678808178886179,0.02119446067952967,0.12740815767419186,2.3696771649369437e-5
14,1,84637,1518,0.14756258234519104,448,-1.7800544910331344,5.689345022501135,-0.31287511725745043,0.7543755427182919,-0.05499316986754041,0.17576715703565868,8.382642912262369e-5
15,1,126289,1518,0.1478919631093544,449,-0.7272902547649983,5.696215882268589,-0.1276795454731512,0.8984025779362144,-0.022414801003346314,0.17555514409361492,1.3959876347233023e-5
16,1,126406,1518,0.9018445322793149,298,-11.617497765722932,5.238938795680067,-2.2175288200164713,0.02658697588781857,-0.42327824517534074,0.19087835132271094,0.004210924561980087
17,1,126409,1518,0.9008563899868248,301,-11.855272841725984,5.27150180837786,-2.248936502854786,0.02451653619138733,-0.42662159373266445,0.1896992614914266,0.0043310510495450615
18,1,126442,1518,0.09914361001317523,301,11.855272841726146,5.27150180837786,2.2489365028548165,0.02451653619138548,0.4266215937326703,0.1896992614914266,0.004331051049545179
19,1,126708,1518,0.08069828722002635,245,11.064787683927007,4.794938421995014,2.3075974517569127,0.02102153638263082,0.4812569523670334,0.20855325178168468,0.0045599388313308925
110,1,126711,1518,0.49110671936758893,1491,1.2059085379044021,8.033217068567932,0.1501152685918118,0.8806736738919746,0.01868681840792989,0.12448312941931597,1.9296949078171484e-5
111,1,127241,1518,0.4575098814229249,1389,-3.0579325847785146,8.199095106028727,-0.37295976510018064,0.7091783896804253,-0.04548791790766599,0.12196467867102899,1.1911401968112172e-4
112,1,145739,1518,0.22661396574440051,688,-14.698086737212531,6.959449670786101,-2.1119610648110796,0.03468978898052009,-0.3034666769236833,0.1436895224916607,0.0038195370795997097
113,1,185078,1518,0.25,759,12.20317035705468,7.089349399162232,1.7213385417985976,0.08518940948731156,0.24280627810529593,0.14105666736050176,0.002537298142138215
114,1,185117,1518,0.2503293807641634,760,12.678018889522727,7.083213286905047,1.7898682950802807,0.0734750868049839,0.25269157126600506,0.1411788632496399,0.002743349033353604
115,1,185522,1518,0.08333333333333333,253,9.69642581401064,4.8476260005732215,2.0002421417956042,0.04547412328770297,0.4126230327090167,0.206286541057778,0.003426131764358685
116,1,252326,1518,0.08168642951251646,248,10.181126575384283,4.872878835065636,2.089345317211678,0.036676649808624444,0.4287702173459716,0.2052174974686253,0.003738172718618889
117,1,252382,1518,0.09980237154150198,303,11.749288161250819,5.234971309915276,2.244384441801453,0.024807676668836064,0.42872908158073103,0.19102301441575315,0.0043135358764397405
118,1,260815,1518,0.3326745718050066,1010,0.7972960320529511,7.751908981603677,0.10285157294094162,0.918080772976969,0.013267902549555503,0.12900048263893896,9.058593915890072e-6
119,1,272119,1518,0.2318840579710145,704,-12.144451666130056,6.97875708506035,-1.7402026633264074,0.0818234381441253,-0.2493571050139738,0.14329199136916976,0.0025932152894009037
120,1,292227,1518,0.7704216073781291,697,12.619398947902214,6.952555527819835,1.8150734499576695,0.06951262268727508,0.2610656531537024,0.14383200479285888,0.002821157442679197
121,1,293629,1518,0.0981554677206851,298,10.118541499574416,5.112027845530269,1.9793596211377489,0.04777553130930137,0.38719656483647935,0.19561708782051251,0.0033549675843090447
122,1,293678,1518,0.09716732542819499,295,9.7098045640255215,5.090335785353957,1.9074978495451749,0.05645614924522477,0.3747292771988591,0.19645069444676427,0.0031157817524932363
123,1,294453,1518,0.09749670619235837,296,9.298572393850606,5.103878236980397,1.8218640731821047,0.06847561277877653,0.35695680590138307,0.1959294390595864,0.0028423061774446143
124,1,295246,1518,0.7691040843214756,701,12.11434279078996,7.00708814254834,1.7288697593554478,0.08383240745990199,0.24673155584520623,0.1427126332160451,0.0025595491365496986
125,1,311450,1518,0.7700922266139657,698,11.475388436387094,6.970611315776894,1.646252805749524,0.0997117215470878,0.23617050659868052,0.14345944059980156,0.0023207693052985077
126,1,312605,1518,0.6656785243741765,1015,-0.7909793027230874,7.885498434406168,-0.10030809203789456,0.9200997333790751,-0.012720577256122231,0.1268150654417455,8.61610246465702e-6
127,1,312627,1518,0.66600790513834,1014,-0.5010663004880687,7.888107479144018,-0.06352173849213856,0.9493510493843375,-0.008052849008471124,0.12677312050374287,3.455283343607535e-6
