,het.snp,maf,r
2,0.482270459754618,0.373803424565188,0.980155283170256
6,0.234326547121478,0.130915464473507,-0.114260225213216
10,0.104220035054604,0.0557503033571525,-0.204612806308555
16,0.106242416071188,0.0566266684643387,0.963049226520373
17,0.10678171767561,0.0577052716731832,0.904089366805404
24,0.121882162599434,0.0653903195362007,-0.18998596856577
31,0.407577187542133,0.292099231495214,0.875724706830062
32,0.454631252527976,0.34043413779156,0.999392026157056
35,0.408925441553189,0.29007685047863,-0.179378368404249
53,0.175138196036133,0.0999730349197789,-0.249238859033216
59,0.438587029796414,0.313671295672105,-0.393652855899893
61,0.332883915329648,0.219832816502629,0.996004041465388
64,0.353242550896589,0.226911150060671,0.997293038672564
67,0.530807604152622,0.45955237966833,-0.31640888257274
68,0.194957529998652,0.108129971686666,0.632171046707064
77,0.255898611298369,0.146150734798436,-0.173039189614671
93,0.328704327895376,0.212080355939059,0.99980158822081
94,0.328839153296481,0.212147768639612,1
103,0.23122556289605,0.133679385196171,1
106,0.450182014291493,0.346164217338547,0.954296533180929
107,0.461102871781044,0.362141027369556,0.980124867627367
108,0.45665363354456,0.357489551031414,0.718823653225516
113,0.310502898746124,0.190171228259404,0.996921751905037
115,0.348928138061211,0.219495752999865,0.999399084644224
119,0.233787245517055,0.12929755966024,0.940105312453277
128,0.440070109208575,0.30119994606984,0.594030375294929
130,0.278144802480787,0.176284211945531,0.998886081063008
137,0.172846164217339,0.0941081299716867,-0.0943778778292685
139,0.173520291222866,0.0940407172711338,-0.179960962697898
141,0.327086423082109,0.203047054064986,0.805672703201322
142,0.251179722259674,0.148645004718889,0.992075986036271
155,0.398004584063638,0.267358770392342,-0.140458004784714
157,0.0920857489551031,0.0519751921261966,-0.20180888651356
162,0.475529189699339,0.444991236348928,0.743795514735767
166,0.480787380342456,0.419306997438317,0.991282259719876
170,0.24309019819334,0.138937575839288,0.989408980484163
193,0.48038290413914,0.416812727517864,-0.845842611249691
194,0.484427666172307,0.496224888769044,0.615248938883547
197,0.400701092085749,0.267898071996764,0.991275644233542
200,0.232978293110422,0.135904004314413,-0.222514568995323
206,0.359579344748551,0.221450721315896,-0.231826921052187
207,0.298638263448834,0.184913037616287,0.773331308477276
214,0.2929755966024,0.178845894566536,0.742962099471478
218,0.435620870972091,0.33632196305784,0.866695713195287
224,0.387353377376298,0.276055008763651,0.797058229280175
227,0.240932991775651,0.139746528245921,-0.174147764209383
228,0.314412835378185,0.198867466630713,0.958697382548586
229,0.325333692867736,0.209720911419711,0.678225964649271
231,0.362006201968451,0.243696912498315,0.756546027225773
235,0.427531346905757,0.314749898880949,0.999225760345957
244,0.416880140218417,0.294997977618983,0.995774774540509
255,0.322906835647836,0.205136847782122,1
263,0.497910206282864,0.443373331535661,-0.462306456742113
269,0.405150330322233,0.321356343535122,1
287,0.438047728191991,0.340097074288796,-0.519790236162433
291,0.410543346366455,0.305446946204665,0.999384355771998
297,0.298098961844411,0.187205069435082,1
315,0.0846703518942969,0.0473237157880545,-0.115787792111305
321,0.344883376028044,0.226102197654038,0.999810153849622
326,0.344613725225833,0.226102197654038,0.973794689685571
328,0.336119724956182,0.227383038964541,0.998898842121183
330,0.336389375758393,0.227787515167858,0.971224661980848
332,0.143723877578536,0.0756370500202238,-0.119310455676953
348,0.411217473371983,0.287043278953755,0.999338028064116
352,0.349737090467844,0.222461911824188,0.997642534125486
356,0.488607253606579,0.499258460293919,-0.679936089056862
361,0.492921666441958,0.498988809491708,-0.459919917742984
363,0.297424834838884,0.184575974113523,-0.319169315942332
366,0.0912767965484697,0.051840366725091,0.970304840829309
367,0.0875016853175138,0.049952811109613,0.775865970608978
380,0.120803559390589,0.069030605366051,0.450221427650873
385,0.154914385870298,0.0922879870567614,0.943851110424223
387,0.165565592557638,0.0984225428070649,0.990379485491065
401,0.0555480652554941,0.0289874612376971,-0.0850006112246235
404,0.0481326681946879,0.0254145881083996,1
416,0.520156397465282,0.453417823918026,0.606578569017276
420,0.310368073345018,0.205473911284886,-0.157990340547288
425,0.458001887555615,0.404273965215047,1
432,0.144398004584064,0.0773223675340434,-0.0747756475448243
437,0.489551031414318,0.480450316839693,0.396632896114775
446,0.148847242820547,0.0806255898611299,-0.0512504653268402
462,0.480248078738034,0.372927059458002,0.936369823192747
463,0.458406363758932,0.343804772819199,0.850155802475964
471,0.45085614129702,0.331670486719698,0.999690685999639
475,0.441553188620736,0.324322502359444,-0.285422302249329
476,0.263583659161386,0.157543481191857,-0.364977491344563
477,0.49467439665633,0.407240124039369,-0.364184560604099
481,0.412430901981933,0.283874882027774,0.998654260616327
484,0.477821221518134,0.418902521235001,-0.672553295314617
485,0.45665363354456,0.378252662801672,-0.3891926320707
486,0.324389915059997,0.201563974652825,-0.318552980173953
497,0.427666172306863,0.332614264527437,0.998975075133758
521,0.199002292031819,0.113253336928677,-0.175594974451754
528,0.190238640959957,0.109275987596063,1
537,0.339894836187138,0.217540784683834,-0.103293671025781
541,0.200620196845086,0.112714035324255,0.999323928973883
543,0.376567345287852,0.25448294458676,0.941496458906436
552,0.256572738303896,0.156599703384118,0.611865727346592
554,0.149656195227181,0.0891195901307806,0.556526731490046
562,0.487393824996629,0.465754348119186,0.438694744869007
583,0.317648645004719,0.203856006471619,-0.245289962990427
584,0.267628421194553,0.163475798840502,-0.192565647200843
590,0.39274639342052,0.271066468922745,0.999321823193811
592,0.470540649858433,0.368073345018201,0.998973512710701
602,0.278549278684104,0.170284481596333,0.703312657138493
605,0.158824322502359,0.0923553997573143,-0.186314599085501
606,0.334232169340704,0.215518403667251,0.237458762694261
609,0.267223944991236,0.165026290953216,0.997148781858764
610,0.267763246595659,0.165026290953216,0.799377929232557
626,0.0928947013617366,0.0545368747472024,-0.114051991845052
630,0.469057570446272,0.398206822165296,0.99766031527602
633,0.439395982203047,0.317041930699744,0.83972378674942
641,0.13051098827019,0.073075367399218,-0.1231742252315
643,0.334636645544021,0.211406228933531,-0.334151151573354
644,0.369556424430363,0.247741674531482,0.407651790627343
646,0.447620331670487,0.330322232708642,0.586847304001306
652,0.50775246056357,0.445732776055009,0.780663118067018
655,0.335175947148443,0.212889308345692,0.997184258737484
669,0.256842389106108,0.150262909532156,0.810841738412817
671,0.150195496831603,0.0796818120533909,-0.128112652609922
685,0.254011055682891,0.150734798436025,0.988205983052562
689,0.47916947552919,0.433733315356613,-0.390321535188781
690,0.29661588243225,0.179991910475934,-0.340763843848938
725,0.0750977484158015,0.0395712552244843,-0.188314631339611
728,0.503707698530403,0.493730618848591,-0.148630900661677
732,0.0748280976135904,0.0394364298233787,-0.0143747538707738
755,0.441418363219631,0.359983820951867,-0.310841737616187
759,0.441283537818525,0.360455709855737,-0.467945608447301
764,0.363219630578401,0.235405150330322,0.0515705826034937
771,0.477551570715923,0.404880679520022,-0.601427526548522
783,0.118781178374006,0.0692328434677093,1
784,0.118781178374006,0.0692328434677093,1
794,0.140622893353108,0.0770527167318322,1
800,0.139813940946474,0.0765134151274101,-0.289299430767406
803,0.139679115545369,0.0768504786301739,-0.218955761418549
807,0.39153296481057,0.295806930025617,-0.284619740949551
808,0.280167183497371,0.165430767156532,-0.0713982697203002
811,0.280167183497371,0.165565592557638,-0.133359354665196
823,0.137656734528785,0.075569637319671,1
845,0.138465686935419,0.0763785897263044,0.987738016231076
847,0.493326142645274,0.466563300525819,0.99932896035113
856,0.431441283537819,0.343939598220305,-0.0374409986420183
857,0.391398139409465,0.280369421599029,0.476912730045582
868,0.373466361062424,0.258190643117163,0.854674579128269
880,0.311042200350546,0.194215990292571,-0.12629113448712
887,0.372252932452474,0.256774976405555,-0.163209344251994
896,0.469327221248483,0.3789267898072,0.337373717142455
900,0.315626263988135,0.196777672913577,0.530744135489813
901,0.498853984090603,0.465956586220844,-0.248445141747008
914,0.450047188890387,0.353107725495483,-0.435028767084086
915,0.343400296615882,0.248280976135904,-0.286145311484066
931,0.480517729540245,0.47337198328165,-0.82165532315374
945,0.0357287312929756,0.0188081434542268,-0.00815215097198102
946,0.156532290683565,0.0854118916003775,0.500933719004896
950,0.143723877578536,0.0786032088445463,-0.0322669616327123
953,0.141027369556424,0.0772549548334907,-0.161558881247322
957,0.394768774437104,0.259538897128219,-0.559931255223561
978,0.403802076311177,0.291559929890791,0.977647272767944
979,0.414992584602939,0.297694485641095,0.871016846312754
981,0.146824861803964,0.0819064311716328,0.97216688046838
993,0.406228933531077,0.276055008763651,0.643555561042772
998,0.484562491573412,0.4116219495753,-0.396974831072939
1003,0.404341377915599,0.282931104220035,0.872237391640768
1005,0.0333018740730754,0.0175947148442767,-0.0864886073720109
1008,0.311581501954968,0.194215990292571,1
1015,0.127140353242551,0.0734124309019819,1
1027,0.456249157341243,0.375084265875691,0.996357024316314
1036,0.429284077120129,0.327760550087636,0.999552620690553
1038,0.145206956990697,0.0792099231495214,1
1044,0.145072131589591,0.0795469866522853,0.291482693884233
1046,0.491977888634219,0.457934474855063,0.292164490621413
1050,0.357422138330862,0.242213833086153,-0.285168124234806
1054,0.145072131589591,0.0792773358500741,-0.0454362993406564
1059,0.314143184575974,0.199137117432924,0.999583673789031
1066,0.316165565592558,0.199743831737899,-0.136592003890549
1069,0.144667655386275,0.0793447485506269,1
1079,0.0934340029661588,0.0504921127140353,0.992475518173057
1082,0.0939733045705811,0.0490090333018741,0.99709455840124
1095,0.0947822569772145,0.0494135095051907,0.347221287503584
1099,0.0919509235539976,0.0481326681946879,0.989661830505529
1102,0.142645274369691,0.0777942564379129,0.993972779046203
1108,0.143858702979641,0.078400970742888,1
1110,0.143184575974114,0.0783335580423352,0.982318954070456
1113,0.385061345557503,0.247269785627612,-0.252484040350255
1114,0.248348388836457,0.146420385600647,0.513998653732996
1116,0.248348388836457,0.146420385600647,0.998928566675997
1119,0.490359983820952,0.387960091681273,0.974824651213638
1122,0.47916947552919,0.38789267898072,0.999713436748435
1130,0.470675475259539,0.35883780504247,0.56126657839284
1137,0.425374140488068,0.302076311177026,0.68415728633615
1152,0.314952136982608,0.208305244708103,0.999608790246844
1194,0.301469596872051,0.191586894971013,-0.18725484170638
1197,0.448564109478226,0.354523392207092,0.483810106176528
1210,0.311716327356074,0.197384387218552,0.994791272341583
1232,0.396925980854793,0.259538897128219,0.997281105282525
1234,0.187946609141162,0.106916543076716,-0.18090309803021
1242,0.48038290413914,0.415329648105703,0.837539836199471
1243,0.455170554132399,0.343669947418094,0.99894533808613
1247,0.503438047728192,0.465147633814211,0.983922329682373
1255,0.498449507887286,0.436632061480383,0.998198112561376
1273,0.48159633274909,0.417823918026156,0.121932261482793
1274,0.284886072536066,0.171969799110152,-0.338626315520792
1277,0.455979506539032,0.408251314547661,0.387679032069286
1280,0.486854523392207,0.438384791694755,0.119535254450672
1284,0.164352163947688,0.0894566536335446,-0.117726234487814
1287,0.500202238101658,0.438317378994203,0.296813204940164
1292,0.177699878657139,0.0984225428070649,-0.270562948853698
1296,0.460563570176621,0.413644330591884,0.378856312335291
1302,0.164756640151004,0.0896588917352029,-0.184814637900611
1306,0.250910071457463,0.142577861669138,-0.100080126320508
1307,0.100444923823648,0.05278414453283,-0.100070880947966
1317,0.455305379533504,0.477214507213159,0.995899084237109
1318,0.457058109747876,0.478225697721451,0.35532998032771
1320,0.453957125522448,0.385937710664689,0.994962612975166
1326,0.45544020493461,0.385735472563031,-0.209970926270779
1340,0.247134960226507,0.141094782256977,0.999716373416719
1350,0.24915734124309,0.142510448968586,-0.301792506629732
1357,0.508696238371309,0.45739517325064,-0.25796390753789
1360,0.372522583254685,0.260415262235405,0.98769848649684
1366,0.232304166104894,0.130173924767426,-0.326701527430421
1369,0.299312390454362,0.178913307267089,0.99976622173637
1374,0.301604422273156,0.180059323176486,0.999533416779637
1376,0.487663475798841,0.495550761763516,-0.431818074524983
1389,0.417419441822839,0.292705945800189,0.999835885045155
1397,0.220709181609815,0.123432654712148,0.489102552630172
1401,0.407846838344344,0.296683295132803,-0.440311368452337
1418,0.429284077120129,0.33800728057166,-0.440297287953231
1419,0.399892139679116,0.268302548200081,0.990191642055259
1420,0.399352838074693,0.266954294189025,0.996129125206777
1433,0.399487663475799,0.267291357691789,-0.341931574337658
1437,0.341377915599299,0.240393690171228,0.999653529970913
1442,0.500741539706081,0.443171093434003,0.782554312253132
1443,0.422542807064851,0.331940137521909,-0.282226208585582
1459,0.341512741000404,0.24019145206957,-0.378368904416586
1461,0.436025347175408,0.304166104894162,-0.379214130013675
1487,0.458541189160038,0.384184980450317,0.895674318833905
1492,0.458001887555615,0.384319805851422,-0.46263041090488
1494,0.449912363489281,0.380275043818255,-0.458617496325599
1508,0.417284616421734,0.335243359848996,1
1509,0.417284616421734,0.335243359848996,-0.528845308924029
1525,0.396521504651476,0.289402723473102,0.994451300235438
1534,0.346636106242416,0.242753134690576,0.827392181265614
1542,0.473776459484967,0.436429823378725,0.999603673691622
1544,0.473506808682756,0.436160172576513,0.539044427044935
1547,0.347849534852366,0.244573277605501,0.998621740895159
1552,0.347040582445733,0.243629499797762,0.734122600488113
1553,0.449238236483754,0.386139948766348,0.998919617455784
1554,0.449238236483754,0.386409599568559,0.887628992941126
1564,0.302143723877579,0.185856815424026,-0.242236853955383
1565,0.294323850613456,0.204193069974383,0.639651912062722
1570,0.328839153296481,0.226439261156802,0.936556049053327
1571,0.293380072805717,0.203451530268303,0.994493255842159
1574,0.292301469596872,0.202642577861669,0.998096888060318
1580,0.290413913981394,0.201968450856141,0.999429186839118
1589,0.299986517459889,0.172509100714575,0.839010227884393
1613,0.352029122286639,0.250303357152488,0.998988298124432
1616,0.283133342321693,0.162869084535527,0.998203195610573
1628,0.310233247943913,0.217136308480518,-0.229838550600008
1631,0.309963597141702,0.217136308480518,0.96406179510574
1635,0.469462046649589,0.416206013212889,0.645680406154281
1649,0.47916947552919,0.395038425239315,-0.594699489149007
1652,0.312120803559391,0.216327356073884,0.962333157926319
1676,0.503707698530403,0.442496966428475,-0.572586134614789
1686,0.50411217473372,0.441350950519078,0.985404110027145
1691,0.422407981663745,0.314075771875421,0.999540533821866
1709,0.341917217203721,0.240393690171228,-0.0868088022746975
1710,0.0714574625859512,0.037481461507348,-0.0853525120655572
1716,0.366725091007146,0.262774706754753,0.920048395488077
1722,0.090872320345153,0.0489416206013212,0.984390547035212
1731,0.0817041930699744,0.0422003505460429,-0.0185017546968713
1736,0.479573951732506,0.448361871376567,0.61318483921069
1739,0.333018740730754,0.218417149791021,0.987536117571598
1744,0.326547121477686,0.228798705676149,-0.347001511112298
1761,0.389375758392881,0.260887151139275,1
1762,0.389375758392881,0.260887151139275,-0.35450887360382
1763,0.335850074153971,0.241000404476203,-0.442419606208256
1776,0.368073345018201,0.25374140488068,0.829682195296818
1779,0.467709316435216,0.482472697856276,0.999619259694639
1780,0.467574491034111,0.482540110556829,0.570980556157677
1787,0.452743696912498,0.468383443440744,0.982195494054241
1796,0.441957664824053,0.34528785223136,0.962782572126404
1809,0.0881758123230417,0.0451665093703654,0.998401219875486
